AT1TE52125	15827287	15838845	-	ATHILA2	LTR/Gypsy	11559	
AT1TE42735	13085455	13085593	+	ATCOPIA68	LTR/Copia	139	
AT1TE36140	11181821	11181959	+	ATCOPIA27	LTR/Copia	139	
AT1TE21850	6759762	6759900	+	ATREP11	RC/Helitron	139	
AT1TE95105	29079013	29079151	+	ATREP3	RC/Helitron	139	
AT1TE18375	5681490	5681628	+	TAG2	DNA/HAT	139	
AT1TE65535	19822380	19824568	+	HELITRONY3	RC/Helitron	2189	
AT1TE11410	3506360	3506498	+	ATCOPIA68	LTR/Copia	139	
AT1TE68360	20699111	20699248	+	ATCOPIA24	LTR/Copia	138	
AT1TE19300	5967433	5967570	+	ATHPOGON1	DNA/Pogo	138	
AT1TE63050	19030078	19030213	-	HELITRONY3	RC/Helitron	136	
AT1TE53750	16325184	16327367	-	ATREP3	RC/Helitron	2184	
AT1TE38930	12014741	12014878	+	ATHATN4	DNA/HAT	138	
AT1TE40925	12562100	12564283	-	ATREP3	RC/Helitron	2184	
AT1TE42110	12918637	12918772	-	ATLINE1A	LINE/L1	136	
AT1TE63730	19233923	19234058	-	RathE1_cons	RathE1_cons	136	
AT1TE49730	15149755	15149893	+	ATENSPM3	DNA/En-Spm	139	
AT1TE46155	14049537	14049673	-	VANDAL3	DNA/MuDR	137	
AT1TE36900	11410705	11410726	-	HELITRONY1B	RC/Helitron	22	
AT1TE68520	20748621	20748758	-	HELITRONY1B	RC/Helitron	138	
AT1TE43535	13314042	13314155	-	ATREP11A	RC/Helitron	114	
AT1TE71890	21779493	21779632	+	HELITRONY1D	RC/Helitron	140	
AT1TE63860	19267200	19267310	+	HELITRONY1B	RC/Helitron	111	
AT1TE64050	19326868	19327005	-	ATREP11A	RC/Helitron	138	
AT1TE23280	7202163	7202263	-	HELITRONY3A	RC/Helitron	101	
AT1TE31580	9815682	9815773	+	ATREP3	RC/Helitron	92	
AT1TE55320	16742379	16751122	-	ATENSPM6	DNA/En-Spm	8744	
AT1TE52710	15991343	15991480	-	TNAT1A	DNA	138	
AT1TE36560	11301592	11301728	-	ATMUNX1	DNA/MuDR	137	
AT1TE65335	19763827	19763965	+	ATREP10A	RC/Helitron	139	
AT1TE66080	19993529	19993664	-	ATREP2A	RC/Helitron	136	
AT1TE90830	27758287	27758423	-	ATHILA	LTR/Gypsy	137	
AT1TE24580	7630434	7630573	+	ATCOPIA26	LTR/Copia	140	
AT1TE18795	5812561	5812700	+	ATREP15	RC/Helitron	140	
AT1TE67710	20497386	20497522	-	RathE1_cons	RathE1_cons	137	
AT1TE42340	12983044	12983179	-	BRODYAGA1A	DNA/MuDR	136	
AT1TE60660	18302689	18302776	+	HELITRONY3	RC/Helitron	88	
AT1TE27660	8573497	8573632	-	ATMUNX1	DNA/MuDR	136	
AT1TE98890	30250487	30250620	-	ATREP11	RC/Helitron	134	
AT1TE60710	18317497	18317566	-	ATREP4	RC/Helitron	70	
AT1TE54815	16637546	16637681	+	ARNOLD2	DNA/MuDR	136	
AT1TE43800	13397404	13397539	+	ATHILA4D_LTR	LTR/Gypsy	136	
AT1TE42990	13171360	13171380	+	ATREP3	RC/Helitron	21	
AT1TE20740	6402736	6402869	-	ATREP14	RC/Helitron	134	
AT1TE26840	8322276	8322411	+	ATENSPM10	DNA/En-Spm	136	
AT1TE46570	14177934	14178066	-	ATHILA2	LTR/Gypsy	133	
AT1TE67905	20554066	20554102	-	ATCOPIA80	LTR/Copia	37	
AT1TE82050	24977684	24977818	+	ATLINE1_3A	LINE/L1	135	
AT1TE24780	7690038	7690172	+	ATLINE2	LINE/L1	135	
AT1TE41795	12841755	12841890	+	ATCOPIA57	LTR/Copia	136	
AT1TE08230	2526624	2526756	-	ATHILA7A	LTR/Gypsy	133	
AT1TE63975	19301675	19301809	+	HELITRONY2	RC/Helitron	135	
AT1TE55060	16691401	16691533	-	HELITRONY3	RC/Helitron	133	
AT1TE82620	25170583	25170717	+	ATREP18	DNA	135	
AT1TE80045	24356397	24356536	+	RathE1_cons	RathE1_cons	140	
AT1TE76290	23143346	23143481	+	ATCOPIA85	LTR/Copia	136	
AT1TE57310	17293310	17293444	-	RathE1_cons	RathE1_cons	135	
AT1TE49330	15076084	15078266	-	ATHILA6A	LTR/Gypsy	2183	
AT1TE50650	15352447	15354854	-	ATREP18	DNA	2183	
AT1TE60185	18163937	18164074	+	VANDAL16	DNA/MuDR	138	
